INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
155552963,2016-08-05,20:40:00,QUEENS,103,0,UNKNOWN,False,18-24,M,BLACK,25-44,M,BLACK,1048280.0625,198849.359375,40.712248835000025,-73.76903735099995,POINT (-73.76903735099995 40.712248835000025)
29277326,2007-05-25,23:25:00,BROOKLYN,63,0,GROCERY/BODEGA,False,18-24,M,BLACK,<18,F,BLACK,1005871.1875,169993.34375,40.63325084000007,-73.92210363399995,POINT (-73.92210363399994 40.63325084000007)
79636126,2011-07-05,00:12:00,BROOKLYN,72,0,UNKNOWN,True,18-24,M,BLACK HISPANIC,18-24,M,BLACK HISPANIC,981082.0,174547.734375,40.64577748800008,-74.01141739999997,POINT (-74.01141739999997 40.64577748800008)
139128073,2014-10-10,22:26:00,STATEN ISLAND,121,0,MULTI DWELL - APT BUILD,False,18-24,M,BLACK,18-24,M,BLACK,936721.6875,172119.4375,40.63898537500006,-74.17125343299993,POINT (-74.17125343299995 40.63898537500006)
90884567,2013-05-29,18:15:00,BROOKLYN,79,0,UNKNOWN,False,45-64,M,BLACK,18-24,M,BLACK,1001420.0625,187356.4375,40.68091846600004,-73.93809613999997,POINT (-73.93809613999997 40.68091846600004)
11118195,2006-04-19,00:41:00,BROOKLYN,71,0,MULTI DWELL - APT BUILD,True,25-44,M,BLACK,65+,M,BLACK,1002927.375,182322.953125,40.66709963200003,-73.93267559199995,POINT (-73.93267559199995 40.66709963200003)
80989164,2011-09-30,19:23:00,BRONX,48,0,MULTI DWELL - APT BUILD,False,18-24,M,BLACK,45-64,M,BLACK,1013404.5625,251800.75,40.85776982200008,-73.89460745999997,POINT (-73.89460745999997 40.85776982200008)
76880712,2011-01-17,21:26:00,BRONX,40,0,UNKNOWN,False,18-24,M,BLACK,25-44,M,WHITE HISPANIC,1008140.625,234041.828125,40.80904252600004,-73.91369987199994,POINT (-73.91369987199994 40.80904252600004)
86437258,2012-08-26,01:05:00,BRONX,49,2,MULTI DWELL - PUBLIC HOUS,True,25-44,M,BLACK,25-44,M,WHITE HISPANIC,1022083.6875,251879.25,40.85795235300003,-73.86323194999994,POINT (-73.86323194999994 40.85795235300003)
25980543,2006-12-18,17:00:00,QUEENS,100,0,UNKNOWN,False,25-44,M,BLACK,25-44,M,WHITE,1036674.0,153399.0,40.58757413600006,-73.81125490799997,POINT (-73.81125490799997 40.58757413600006)
51338333,2008-09-13,20:02:00,BROOKLYN,71,0,MULTI DWELL - APT BUILD,False,18-24,M,BLACK,<18,F,BLACK,995579.5,183018.859375,40.669022191000074,-73.95916111299994,POINT (-73.95916111299994 40.66902219100007)
72155701,2010-04-11,03:10:00,QUEENS,113,0,MULTI DWELL - APT BUILD,False,18-24,M,BLACK,<18,M,BLACK,1045319.3125,187942.953125,40.682334309000055,-73.77981596899998,POINT (-73.77981596899997 40.682334309000055)
28560898,2007-04-19,22:01:00,BRONX,46,0,UNKNOWN,False,18-24,M,BLACK,25-44,M,WHITE HISPANIC,1006131.5625,248136.75,40.847734253000056,-73.92091135999993,POINT (-73.92091135999993 40.847734253000056)
254541649,2022-11-22,19:05:00,BRONX,49,0,GAS STATION,False,25-44,M,BLACK,45-64,M,ASIAN / PACIFIC ISLANDER,1020896.0,252363.0,40.859278,-73.86752,POINT (-73.86752 40.859278)
52550583,2008-10-27,22:50:00,BROOKLYN,67,0,MULTI DWELL - APT BUILD,True,18-24,M,BLACK,65+,M,BLACK,997814.5625,176683.546875,40.651630012000055,-73.95111695499997,POINT (-73.95111695499997 40.651630012000055)
47768912,2008-06-25,22:06:00,BROOKLYN,75,0,UNKNOWN,False,25-44,M,BLACK,25-44,M,BLACK,1014565.375,180333.890625,40.661607901000025,-73.890733373,POINT (-73.89073337299999 40.661607901000025)
